skill_id,skill_name,category,difficulty,frequency
economics,economics,extracted,intermediate,1
facebook_graphics,facebook graphics,extracted,intermediate,1
visme,visme,extracted,intermediate,4
incident_response,incident response,cybersecurity,intermediate,18
software_development,software development,software_engineering,intermediate,31
data_models,data models,extracted,intermediate,2
lookml,lookml,extracted,intermediate,5
process_map_data,process map data,extracted,intermediate,1
basic_data_analysis_tasks,basic data analysis tasks,extracted,intermediate,1
java_streams,java streams,extracted,intermediate,1
the_healthcare_ecosystem,the healthcare ecosystem,extracted,intermediate,1
project_planning,project planning,project_management,intermediate,8
cloud_security,cloud security,cloud_computing,intermediate,17
experience_design,experience design,extracted,intermediate,3
theories,theories,extracted,intermediate,1
frameworks,frameworks,extracted,intermediate,1
a_diffusion_model,a diffusion model,extracted,intermediate,1
an_introduction,an introduction,extracted,intermediate,7
serverless,serverless,cloud_computing,intermediate,30
active_listening,active listening,communication,intermediate,2
microsoft_pl-300_exam_preparation,microsoft pl-300 exam preparation,extracted,intermediate,1
a_modern_computer,a modern computer,extracted,intermediate,2
first_principles,first principles,extracted,intermediate,2
the_healthcare_innovation_process,the healthcare innovation process,extracted,intermediate,1
skeletal_animation,skeletal animation,extracted,intermediate,1
a_google_sre_culture,a google sre culture,extracted,intermediate,2
functional_programming,functional programming,software_engineering,intermediate,5
scala,scala,programming,intermediate,16
iot_solutions,iot solutions,extracted,intermediate,1
microsoft_azure,microsoft azure,extracted,intermediate,6
a_storyboard,a storyboard,extracted,intermediate,1
realistic_reflections,realistic reflections,extracted,intermediate,1
tiktok,tiktok,extracted,intermediate,1
html,html,programming,intermediate,47
a_webpage,a webpage,extracted,intermediate,1
git,git,software_engineering,intermediate,35
a_healthy_culture,a healthy culture,extracted,intermediate,1
technologies_foundations,technologies foundations,extracted,intermediate,1
fundamentals,fundamentals,extracted,intermediate,19
digital_design,digital design,extracted,intermediate,1
vlsi_chip_design,vlsi chip design,extracted,intermediate,2
web_applications,web applications,extracted,intermediate,1
the_vertex,the vertex,extracted,intermediate,1
gemini_api,gemini api,extracted,intermediate,1
analysis,analysis,extracted,intermediate,8
bert,bert,extracted,intermediate,1
interactive_user_interfaces,interactive user interfaces,extracted,intermediate,1
react_library,react library,extracted,intermediate,1
project_management,project management,extracted,intermediate,7
control,control,extracted,intermediate,2
the_earned_value,the earned value,extracted,intermediate,1
risk,risk,extracted,intermediate,2
a_chat_application,a chat application,extracted,intermediate,1
the_palm_2_api,the palm 2 api,extracted,intermediate,1
relational_databases,relational databases,extracted,intermediate,1
postgresql,postgresql,extracted,intermediate,6
dplyr,dplyr,extracted,intermediate,3
your_company,your company,extracted,intermediate,2
japanese,japanese,extracted,intermediate,2
science,science,extracted,intermediate,9
web_design,web design,design,intermediate,14
everybody,everybody,extracted,intermediate,1
capstone,capstone,extracted,intermediate,8
responsive_web_apps,responsive web apps,extracted,intermediate,2
design_concepts,design concepts,extracted,intermediate,1
metro_rails,metro rails,extracted,intermediate,2
replit_essentials,replit essentials,extracted,intermediate,1
sas_viya_rest_apis,sas viya rest apis,extracted,intermediate,1
uma_experiência,uma experiência,extracted,intermediate,1
app_design,app design,extracted,intermediate,1
development,development,extracted,intermediate,8
brand_management,brand management,marketing,intermediate,5
aggregate_data,aggregate data,extracted,intermediate,1
mysql_workbench,mysql workbench,extracted,intermediate,6
your_musicianship,your musicianship,extracted,intermediate,2
profit_analysis,profit analysis,extracted,intermediate,1
economic_value,economic value,extracted,intermediate,1
rag_applications,rag applications,extracted,intermediate,1
canva_design,canva design,extracted,intermediate,3
a_gantt_chart,a gantt chart,extracted,intermediate,2
wrike,wrike,extracted,intermediate,2
probability,probability,mathematics,intermediate,19
azure_ad,azure ad,extracted,intermediate,1
food_labels,food labels,extracted,intermediate,1
portion,portion,extracted,intermediate,1
purchasing,purchasing,extracted,intermediate,1
design_thinking,design thinking,design,intermediate,26
agiles,agiles,extracted,intermediate,1
trifft_auf_design_thinking,trifft auf design thinking,extracted,intermediate,1
customizable_proposals,customizable proposals,extracted,intermediate,1
qwilr,qwilr,extracted,intermediate,1
numerical_analysis,numerical analysis,mathematics,intermediate,1
technical_writing,technical writing,communication,intermediate,2
a_risk_management_framework,a risk management framework,extracted,intermediate,1
filters,filters,extracted,intermediate,1
a_cnn,a cnn,extracted,intermediate,1
tensorflow,tensorflow,extracted,intermediate,2
amazon_honeycode,amazon honeycode,extracted,intermediate,1
smart_chatbot,smart chatbot,extracted,intermediate,1
agile_practices,agile practices,extracted,intermediate,3
software_development_practices,software development practices,extracted,intermediate,1
mandarin_chinese,mandarin chinese,extracted,intermediate,1
capstone_project,capstone project,extracted,intermediate,5
budgeting,budgeting,project_management,intermediate,6
a_client_welcome_kit,a client welcome kit,extracted,intermediate,1
visual_design,visual design,design,intermediate,3
ux:_visual_design_process,ux: visual design process,extracted,intermediate,1
capstone_and_practice_exam,capstone and practice exam,extracted,intermediate,1
az-500,az-500,extracted,intermediate,1
engineering_practices,engineering practices,extracted,intermediate,1
quality_software,quality software,extracted,intermediate,1
rust,rust,programming,intermediate,29
hardware_description_languages,hardware description languages,extracted,intermediate,1
fpga_design,fpga design,extracted,intermediate,1
a_facebook_shop,a facebook shop,extracted,intermediate,1
commerce_manager,commerce manager,extracted,intermediate,1
the_ife-efe_matrix,the ife-efe matrix,extracted,intermediate,1
excel,excel,extracted,intermediate,12
real-world_examples,real-world examples,extracted,intermediate,1
critical_thinking,critical thinking,analytical,intermediate,11
a_bi_dashboard,a bi dashboard,extracted,intermediate,1
google_data_studio,google data studio,extracted,intermediate,1
a_source_control_strategy,a source control strategy,extracted,intermediate,1
classification,classification,data_science,intermediate,26
marketing_analytics,marketing analytics,marketing,intermediate,19
graphic_design,graphic design,design,intermediate,12
your_linkedin,your linkedin,extracted,intermediate,1
3d_effect,3d effect,extracted,intermediate,1
a_generative_ai-ready_organization,a generative ai-ready organization,extracted,intermediate,1
generative_art_dynamic_nfts,generative art dynamic nfts,extracted,intermediate,1
an_infographic,an infographic,extracted,intermediate,2
infogram,infogram,extracted,intermediate,1
terraform,terraform,cloud_computing,intermediate,26
attractive_infographics,attractive infographics,extracted,intermediate,1
strategy,strategy,extracted,intermediate,5
pandas,pandas,extracted,intermediate,8
cps_design,cps design,extracted,intermediate,1
mechatronics,mechatronics,extracted,intermediate,1
healthcare,healthcare,extracted,intermediate,3
beginners,beginners,extracted,intermediate,43
an_interactive_presentation,an interactive presentation,extracted,intermediate,1
ui_design,ui design,design,intermediate,9
ux/ui_design,ux/ui design,extracted,intermediate,2
video_editing,video editing,multimedia,intermediate,10
public_history,public history,extracted,intermediate,1
responsible_ai_practices,responsible ai practices,extracted,intermediate,1
arm_core,arm core,extracted,intermediate,1
micropython,micropython,extracted,intermediate,1
industries,industries,extracted,intermediate,1
intelligent_agents,intelligent agents,extracted,intermediate,1
deepseek,deepseek,extracted,intermediate,3
cluster,cluster,extracted,intermediate,1
your_own_vpc,your own vpc,extracted,intermediate,1
a_professional_business_card,a professional business card,extracted,intermediate,1
qr_code,qr code,extracted,intermediate,1
digital_marketing,digital marketing,marketing,intermediate,34
lookup_reference_math,lookup reference math,extracted,intermediate,1
text_functions,text functions,extracted,intermediate,1
formwork_practices,formwork practices,extracted,intermediate,1
design_security_solutions,design security solutions,extracted,intermediate,2
multi_task_models,multi task models,extracted,intermediate,1
keras,keras,extracted,intermediate,1
job_needs,job needs,extracted,intermediate,1
job_postings,job postings,extracted,intermediate,1
network_security,network security,cybersecurity,intermediate,28
microsoft_sc-900_exam_preparation,microsoft sc-900 exam preparation,extracted,intermediate,1
financial_reporting,financial reporting,finance,intermediate,6
healthcare_improvement,healthcare improvement,extracted,intermediate,1
foundations,foundations,extracted,intermediate,18
azure_infrastructure_design,azure infrastructure design,extracted,intermediate,1
production-ready_apps,production-ready apps,extracted,intermediate,1
applied_text_mining,applied text mining,extracted,intermediate,1
a_static_website,a static website,extracted,intermediate,1
time_series,time series,data_science,intermediate,18
sales_forecasting,sales forecasting,extracted,intermediate,1
a_hypertension_program,a hypertension program,extracted,intermediate,1
ai_principles,ai principles,extracted,intermediate,10
class_components,class components,extracted,intermediate,1
your_costs,your costs,extracted,intermediate,1
google_cloud_billing_reports,google cloud billing reports,extracted,intermediate,1
bash_shell_scripting,bash shell scripting,extracted,intermediate,1
automation,automation,extracted,intermediate,3
annual_campaigns,annual campaigns,extracted,intermediate,1
a_case,a case,extracted,intermediate,1
support,support,extracted,intermediate,2
integrative_therapies,integrative therapies,extracted,intermediate,1
healing_practices,healing practices,extracted,intermediate,1
service,service,extracted,intermediate,1
database_design,database design,extracted,intermediate,3
basic_sql,basic sql,extracted,intermediate,1
mathematical_modeling,mathematical modeling,mathematics,intermediate,1
program_design,program design,extracted,intermediate,1
evaluation,evaluation,extracted,intermediate,2
health_systems,health systems,extracted,intermediate,2
problem_solving,problem solving,analytical,intermediate,20
algorithm_design,algorithm design,extracted,intermediate,1
computational_problem,computational problem,extracted,intermediate,1
docker,docker,cloud_computing,intermediate,25
lookml_日本語版,lookml 日本語版,extracted,intermediate,1
bootstrap,bootstrap,extracted,intermediate,4
react_beginner_project,react beginner project,extracted,intermediate,2
a_color_picker_tool,a color picker tool,extracted,intermediate,1
connected_leadership,connected leadership,extracted,intermediate,1
collaborative_teams,collaborative teams,extracted,intermediate,1
tensorflow_hub,tensorflow hub,extracted,intermediate,1
5_ways,5 ways,extracted,intermediate,1
a_better_linkedin_profile,a better linkedin profile,extracted,intermediate,1
machine_learning_projects,machine learning projects,extracted,intermediate,2
beginner,beginner,extracted,intermediate,2
u101,u101,extracted,intermediate,1
college_and_college_life,college and college life,extracted,intermediate,1
high-performing_teams,high-performing teams,extracted,intermediate,1
angular_routing,angular routing,extracted,intermediate,1
a_cocktails_application,a cocktails application,extracted,intermediate,1
az-204_developing_solutions,az-204 developing solutions,extracted,intermediate,1
android_and_ios_apps,android and ios apps,extracted,intermediate,1
strategic_gap_analysis,strategic gap analysis,extracted,intermediate,1
miro,miro,extracted,intermediate,8
transfer,transfer,extracted,intermediate,1
life_long_learning,life long learning,extracted,intermediate,1
deep_neural_network,deep neural network,extracted,intermediate,1
instructional_design_foundations,instructional design foundations,extracted,intermediate,1
cloud_trace,cloud trace,extracted,intermediate,1
kubernetes_engine,kubernetes engine,extracted,intermediate,2
unit_testing,unit testing,extracted,intermediate,1
a_unit_test_suite,a unit test suite,extracted,intermediate,1
notebooks,notebooks,extracted,intermediate,1
3d_modeling,3d modeling,multimedia,intermediate,5
multimodal_use_cases,multimodal use cases,extracted,intermediate,1
images,images,extracted,intermediate,2
tkinter,tkinter,extracted,intermediate,1
pro_desktop_apps,pro desktop apps,extracted,intermediate,1
smart_frontend_development,smart frontend development,extracted,intermediate,1
libraries,libraries,extracted,intermediate,2
productivity,productivity,extracted,intermediate,1
collaboration,collaboration,communication,intermediate,22
user_research,user research,design,intermediate,5
google_forms,google forms,extracted,intermediate,4
user_research_data,user research data,extracted,intermediate,2
kanban_frameworks_roles,kanban frameworks roles,extracted,intermediate,1
best_practices,best practices,extracted,intermediate,20
responsive_design,responsive design,extracted,intermediate,5
a_blog_homepage,a blog homepage,extracted,intermediate,1
different_explores,different explores,extracted,intermediate,1
looker,looker,extracted,intermediate,2
advanced_sql,advanced sql,extracted,intermediate,1
canary_releases,canary releases,extracted,intermediate,1
tensorflow_model_deployments,tensorflow model deployments,extracted,intermediate,1
version_control,version control,software_engineering,intermediate,12
timeseries,timeseries,extracted,intermediate,1
a_token_board,a token board,extracted,intermediate,1
microsoft_powerpoint,microsoft powerpoint,extracted,intermediate,7
a_free_website,a free website,extracted,intermediate,1
a_website,a website,extracted,intermediate,5
a_weekend,a weekend,extracted,intermediate,2
presentation_skills,presentation skills,communication,intermediate,4
assessment,assessment,extracted,intermediate,2
a_flyer,a flyer,extracted,intermediate,1
a_visual_tasks,a visual tasks,extracted,intermediate,1
communication_processes,communication processes,extracted,intermediate,1
gmail,gmail,extracted,intermediate,1
real-world_java_applications,real-world java applications,extracted,intermediate,1
game_design,game design,multimedia,intermediate,13
flask,flask,programming,intermediate,10
a_persistent_disk,a persistent disk,extracted,intermediate,1
restful_api,restful api,extracted,intermediate,1
a_game_map_server,a game map server,extracted,intermediate,1
cloud_services,cloud services,extracted,intermediate,2
the_java_spring_framework,the java spring framework,extracted,intermediate,1
linux_servers,linux servers,extracted,intermediate,4
unit,unit,extracted,intermediate,7
reliable_cloud_infrastructure,reliable cloud infrastructure,extracted,intermediate,9
master_raw_editing,master raw editing,extracted,intermediate,1
a_mortgage_calculator,a mortgage calculator,extracted,intermediate,1
project_management_best_practices,project management best practices,extracted,intermediate,1
pyspark,pyspark,extracted,intermediate,6
advanced_data_processing,advanced data processing,extracted,intermediate,1
interactive_prototypes,interactive prototypes,extracted,intermediate,1
pidoco,pidoco,extracted,intermediate,1
a_lesson_plan,a lesson plan,extracted,intermediate,1
kotlin,kotlin,programming,intermediate,11
the_violin,the violin,extracted,intermediate,1
viola,viola,extracted,intermediate,1
a_healthy_foundation,a healthy foundation,extracted,intermediate,1
retrieve_data,retrieve data,extracted,intermediate,1
single-table_sql,single-table sql,extracted,intermediate,1
relational_database_design,relational database design,extracted,intermediate,3
china,china,extracted,intermediate,2
nestjs,nestjs,extracted,intermediate,1
social_media_graphics,social media graphics,extracted,intermediate,1
resilient_streaming_analytics_systems,resilient streaming analytics systems,extracted,intermediate,7
satisfaction,satisfaction,extracted,intermediate,1
customer_loyalty,customer loyalty,extracted,intermediate,1
no-code_machine_learning,no-code machine learning,extracted,intermediate,1
amazon_aws,amazon aws,extracted,intermediate,1
sagemaker_canvas,sagemaker canvas,extracted,intermediate,1
计算机辅助翻译原理与实践_principles,计算机辅助翻译原理与实践 principles,extracted,intermediate,1
computer-aided_translation,computer-aided translation,extracted,intermediate,1
hardware_protocols,hardware protocols,extracted,intermediate,1
functional_program_design,functional program design,extracted,intermediate,2
scala_2_version,scala 2 version,extracted,intermediate,1
teaching,teaching,extracted,intermediate,8
developing_relationships,developing relationships,extracted,intermediate,1
fashion,fashion,extracted,intermediate,1
image_captioning_models,image captioning models,extracted,intermediate,12
social_media_automation,social media automation,extracted,intermediate,1
mpls_vpns,mpls vpns,extracted,intermediate,1
software_processes,software processes,extracted,intermediate,1
typescript,typescript,programming,intermediate,15
ultimate_typescript_course,ultimate typescript course,extracted,intermediate,1
build,build,extracted,intermediate,4
rest_apis,rest apis,extracted,intermediate,1
fastapi,fastapi,extracted,intermediate,1
gut_check,gut check,extracted,intermediate,1
your_microbiome,your microbiome,extracted,intermediate,1
patterns,patterns,extracted,intermediate,3
advanced_styling,advanced styling,extracted,intermediate,1
prevention,prevention,extracted,intermediate,1
education,education,extracted,intermediate,3
non-prescribing_providers,non-prescribing providers,extracted,intermediate,1
chatgpt,chatgpt,extracted,intermediate,14
azure_serverless_functions,azure serverless functions,extracted,intermediate,2
javascript_variables,javascript variables,extracted,intermediate,1
date_and_time_functions,date and time functions,extracted,intermediate,1
expressjs_essentials,expressjs essentials,extracted,intermediate,1
modern_web_apis,modern web apis,extracted,intermediate,1
physical_models,physical models,extracted,intermediate,1
dairy_nutrition,dairy nutrition,extracted,intermediate,1
health,health,extracted,intermediate,2
cow_wellness,cow wellness,extracted,intermediate,1
the_openai_library,the openai library,extracted,intermediate,1
the_internet_-_master,the internet - master,extracted,intermediate,1
the_wbs,the wbs,extracted,intermediate,1
a_custom_network,a custom network,extracted,intermediate,1
firewall_rules,firewall rules,extracted,intermediate,1
agile_scrum_master,agile scrum master,extracted,intermediate,1
project_finance,project finance,extracted,intermediate,1
financial_models,financial models,extracted,intermediate,1
scratch,scratch,extracted,intermediate,5
custom_regional_reports,custom regional reports,extracted,intermediate,1
google_analytics,google analytics,extracted,intermediate,1
the_future,the future,extracted,intermediate,4
finance,finance,extracted,intermediate,3
predictive_modeling,predictive modeling,data_science,intermediate,8
your_first_web_interface,your first web interface,extracted,intermediate,1
policies,policies,extracted,intermediate,3
traffic,traffic,extracted,intermediate,1
mpls_traffic_engineering,mpls traffic engineering,extracted,intermediate,1
information_design,information design,extracted,intermediate,1
processes,processes,extracted,intermediate,1
communications,communications,extracted,intermediate,1
a_sustainability_proposal,a sustainability proposal,extracted,intermediate,1
anova,anova,extracted,intermediate,1
experimental_design,experimental design,extracted,intermediate,1
functional_approach,functional approach,extracted,intermediate,1
behavior,behavior,extracted,intermediate,1
programming,programming,extracted,intermediate,3
a_single-page_website,a single-page website,extracted,intermediate,1
requirements_gathering,requirements gathering,business_analysis,intermediate,4
an_ecosystem_model,an ecosystem model,extracted,intermediate,1
insight_maker,insight maker,extracted,intermediate,1
customer_support_data,customer support data,extracted,intermediate,2
microsoft_excel,microsoft excel,extracted,intermediate,9
tidy_messy_data,tidy messy data,extracted,intermediate,1
tidyr,tidyr,extracted,intermediate,1
a_small_simulated_network,a small simulated network,extracted,intermediate,1
effective_sports_marketing_strategies,effective sports marketing strategies,extracted,intermediate,1
your_ux_portfolio,your ux portfolio,extracted,intermediate,2
adobe_portfolio,adobe portfolio,extracted,intermediate,1
a_customer_satisfaction_survey,a customer satisfaction survey,extracted,intermediate,3
modeling,modeling,extracted,intermediate,3
differentiation,differentiation,extracted,intermediate,1
landing.ai,landing.ai,extracted,intermediate,1
data_visualization_ai_models,data visualization ai models,extracted,intermediate,1
the_reflective_practitioner,the reflective practitioner,extracted,intermediate,1
copilot,copilot,extracted,intermediate,2
a_powerpoint_presentation,a powerpoint presentation,extracted,intermediate,1
de_governo_digital,de governo digital,extracted,intermediate,1
corporate_credit,corporate credit,extracted,intermediate,1
award_certificates,award certificates,extracted,intermediate,1
random_forests,random forests,extracted,intermediate,2
sustainable_building,sustainable building,extracted,intermediate,1
specification,specification,extracted,intermediate,1
an_ai-powered_translation_app,an ai-powered translation app,extracted,intermediate,1
political_concepts,political concepts,extracted,intermediate,1
agentic_rag,agentic rag,extracted,intermediate,1
llamaindex,llamaindex,extracted,intermediate,3
a_newsletter,a newsletter,extracted,intermediate,2
a_simple_project_plan,a simple project plan,extracted,intermediate,1
c_programming,c programming,extracted,intermediate,1
linux_tools,linux tools,extracted,intermediate,1
conflict_resolution,conflict resolution,project_management,intermediate,7
user_research_methods,user research methods,extracted,intermediate,1
motor_skills,motor skills,extracted,intermediate,1
user_design,user design,extracted,intermediate,1
aws_databases,aws databases,extracted,intermediate,1
a_business_proposal,a business proposal,extracted,intermediate,1
surface_pattern_design,surface pattern design,extracted,intermediate,2
hand,hand,extracted,intermediate,1
management,management,extracted,intermediate,3
bigquery_machine_learning,bigquery machine learning,extracted,intermediate,2
soccer_data,soccer data,extracted,intermediate,1
dynamic_secrets,dynamic secrets,extracted,intermediate,1
practice_exams,practice exams,extracted,intermediate,1
comptia,comptia,extracted,intermediate,2
a+_certification,a+ certification,extracted,intermediate,1
college,college,extracted,intermediate,1
environmental_awareness_content,environmental awareness content,extracted,intermediate,1
light,light,extracted,intermediate,1
hands-on_activities,hands-on activities,extracted,intermediate,1
java_ee_essentials,java ee essentials,extracted,intermediate,1
enterprise_solutions,enterprise solutions,extracted,intermediate,1
innovators,innovators,extracted,intermediate,1
customer_acquisition,customer acquisition,marketing,intermediate,1
the_google_cloud_console,the google cloud console,extracted,intermediate,1
pmp_exam_prep,pmp exam prep,extracted,intermediate,1
business_acumen,business acumen,extracted,intermediate,1
project_managers,project managers,extracted,intermediate,2
interactive_3d_characters,interactive 3d characters,extracted,intermediate,1
good_clinical_practice,good clinical practice,extracted,intermediate,3
