course_id,course_title,skill,skill_category,skill_difficulty,confidence,extraction_method,cluster
C0086,Çok değişkenli Fonksiyon II: Uygulamalar / Multivariable Calculus II: Applications,calculus,mathematics,intermediate,0.9,taxonomy_match,0
C0087,Accounting Analytics,accounting,finance,intermediate,0.9,taxonomy_match,0
C0088,Protecting Data with NetApp Cloud Manager & Cloud Volumes ONTAP for Google Cloud,google cloud,cloud_computing,intermediate,0.9,taxonomy_match,1
C0089,Municipal Solid Waste Management in Developing Countries,municipal solid waste management,extracted,intermediate,0.6,nlp_extraction,2
C0089,Municipal Solid Waste Management in Developing Countries,developing countries,extracted,intermediate,0.6,nlp_extraction,0
C0099,Business Transformation with Google Cloud en Français,google cloud,cloud_computing,intermediate,0.9,taxonomy_match,1
C0101,Developing Applications with Cloud Run on Google Cloud: Fundamentals,google cloud,cloud_computing,intermediate,0.9,taxonomy_match,1
C0101,Developing Applications with Cloud Run on Google Cloud: Fundamentals,developing applications,extracted,intermediate,0.6,nlp_extraction,0
C0101,Developing Applications with Cloud Run on Google Cloud: Fundamentals,cloud,extracted,intermediate,0.6,nlp_extraction,1
C0107,"Cybersecurity Compliance Framework, Standards & Regulations",compliance,cybersecurity,intermediate,0.9,taxonomy_match,0
C0108,Natural Language Processing on Google Cloud,natural language processing,data_science,intermediate,0.9,taxonomy_match,0
C0108,Natural Language Processing on Google Cloud,google cloud,cloud_computing,intermediate,0.9,taxonomy_match,1
C0110,Data Science Decisions in Time: Using Causal Information,time,extracted,intermediate,0.6,nlp_extraction,0
C0110,Data Science Decisions in Time: Using Causal Information,causal information,extracted,intermediate,0.6,nlp_extraction,0
C0113,Design Patterns,design patterns,software_engineering,intermediate,0.9,taxonomy_match,9
C0115,Bracketology with Google Machine Learning,machine learning,data_science,intermediate,0.9,taxonomy_match,4
C0117,"User Interface Design: Principles, Prototyping, Practices",prototyping,design,intermediate,0.9,taxonomy_match,0
C0117,"User Interface Design: Principles, Prototyping, Practices",user interface design,extracted,intermediate,0.6,nlp_extraction,6
C0117,"User Interface Design: Principles, Prototyping, Practices",principles,extracted,intermediate,0.6,nlp_extraction,0
C0117,"User Interface Design: Principles, Prototyping, Practices","prototyping, practices",extracted,intermediate,0.6,nlp_extraction,12
C0118,"AZ-104: Azure Storage, Compute, Containers, and Automation",azure,cloud_computing,intermediate,0.9,taxonomy_match,0
C0120,Positive Psychology Specialization Project: Design Your Life for Well-being,positive psychology specialization project,extracted,intermediate,0.6,nlp_extraction,2
C0120,Positive Psychology Specialization Project: Design Your Life for Well-being,your life,extracted,intermediate,0.6,nlp_extraction,5
C0120,Positive Psychology Specialization Project: Design Your Life for Well-being,well-being,extracted,intermediate,0.6,nlp_extraction,0
C0124,Introduction to Java,java,programming,intermediate,0.9,taxonomy_match,0
C0125,API Security on Google Cloud's Apigee API Platform,google cloud,cloud_computing,intermediate,0.9,taxonomy_match,1
C0131,Data Analytics with Skills.AI: Create Data Visualizations,data analytics,extracted,intermediate,0.6,nlp_extraction,0
C0131,Data Analytics with Skills.AI: Create Data Visualizations,data visualizations,extracted,intermediate,0.6,nlp_extraction,11
C0133,Research Proposal: Initiating Research,research,analytical,intermediate,0.9,taxonomy_match,0
C0139,Building a Machine Learning Solution,machine learning,data_science,intermediate,0.9,taxonomy_match,4
C0139,Building a Machine Learning Solution,a machine learning solution,extracted,intermediate,0.6,nlp_extraction,4
C0140,Decision Making and Reinforcement Learning,decision making,analytical,intermediate,0.9,taxonomy_match,0
C0141,C++ Superpowers and More,c++,programming,intermediate,0.9,taxonomy_match,0
C0147,Introduction to UX Design MasterTrack Certificate Program,ux design,design,intermediate,0.9,taxonomy_match,0
C0147,Introduction to UX Design MasterTrack Certificate Program,introduction,extracted,intermediate,0.6,nlp_extraction,0
C0147,Introduction to UX Design MasterTrack Certificate Program,design mastertrack certificate program,extracted,intermediate,0.6,nlp_extraction,9
C0148,Fundamentals of Network Communication,communication,project_management,intermediate,0.9,taxonomy_match,0
C0151,Build a Memory Game in React,react,programming,intermediate,0.9,taxonomy_match,0
C0151,Build a Memory Game in React,a memory game,extracted,intermediate,0.6,nlp_extraction,10
C0155,Automate R scripts with GitHub Actions: Deploy a model,r,programming,intermediate,0.9,taxonomy_match,0
C0163, Applied Sustainability Engineering, applied sustainability engineering,extracted,intermediate,0.6,nlp_extraction,0
C0166,R البرمجة باستخدام لغة,r,programming,intermediate,0.9,taxonomy_match,0
C0171,Building Relationships with Communication,communication,project_management,intermediate,0.9,taxonomy_match,0
C0171,Building Relationships with Communication,relationships,extracted,intermediate,0.6,nlp_extraction,0
C0180,Advanced Automation Frameworks and Testing with TestNG,testing,software_engineering,intermediate,0.9,taxonomy_match,0
C0183,"Master Unity GUI: Design, Animate & Script Menus",master unity gui,extracted,intermediate,0.6,nlp_extraction,8
C0183,"Master Unity GUI: Design, Animate & Script Menus",design,extracted,intermediate,0.6,nlp_extraction,9
C0183,"Master Unity GUI: Design, Animate & Script Menus",animate,extracted,intermediate,0.6,nlp_extraction,0
C0183,"Master Unity GUI: Design, Animate & Script Menus",script,extracted,intermediate,0.6,nlp_extraction,0
C0183,"Master Unity GUI: Design, Animate & Script Menus",menus,extracted,intermediate,0.6,nlp_extraction,0
C0184,Leadership and Disruption,leadership,project_management,intermediate,0.9,taxonomy_match,0
C0186,Build ATM User Interface using Routing in Angular,angular,programming,intermediate,0.9,taxonomy_match,0
C0186,Build ATM User Interface using Routing in Angular,atm user interface,extracted,intermediate,0.6,nlp_extraction,6
C0187,Data Validation with Alteryx: Testing and Optimization Tools,testing,software_engineering,intermediate,0.9,taxonomy_match,0
C0187,Data Validation with Alteryx: Testing and Optimization Tools,optimization,mathematics,advanced,0.9,taxonomy_match,0
C0190,Data Engineering on AWS - Foundations,aws,cloud_computing,intermediate,0.9,taxonomy_match,0
C0191,Python Programming Fundamentals,python,programming,intermediate,0.9,taxonomy_match,0
C0193,"Advanced JavaScript 3: Objects, Collections, Functions",javascript,programming,intermediate,0.9,taxonomy_match,0
C0199,Generative AI for Java and Spring Development,java,programming,intermediate,0.9,taxonomy_match,0
C0203,طرق تقييم الشركات | Business Valuation Approaches,valuation,finance,intermediate,0.9,taxonomy_match,0
C0206,Exploring Data Transformation with Google Cloud - Français,google cloud,cloud_computing,intermediate,0.9,taxonomy_match,1
C0206,Exploring Data Transformation with Google Cloud - Français,data transformation,extracted,intermediate,0.6,nlp_extraction,11
C0206,Exploring Data Transformation with Google Cloud - Français,google cloud - français,extracted,intermediate,0.6,nlp_extraction,1
C0210,Foundations of Data Science and Machine Learning with Python,machine learning,data_science,intermediate,0.9,taxonomy_match,4
C0210,Foundations of Data Science and Machine Learning with Python,python,programming,intermediate,0.9,taxonomy_match,0
C0210,Foundations of Data Science and Machine Learning with Python,data science,extracted,intermediate,0.6,nlp_extraction,0
C0210,Foundations of Data Science and Machine Learning with Python,machine,extracted,intermediate,0.6,nlp_extraction,4
C0212,Create and Design Digital Products using Canva,digital products,extracted,intermediate,0.6,nlp_extraction,0
C0212,Create and Design Digital Products using Canva,canva,extracted,intermediate,0.6,nlp_extraction,0
C0213,Designing User Interfaces and User Interactions,user interfaces,extracted,intermediate,0.6,nlp_extraction,6
C0213,Designing User Interfaces and User Interactions,user interactions,extracted,intermediate,0.6,nlp_extraction,6
C0215,Building and Debugging Cloud Functions for Node.js,debugging,software_engineering,intermediate,0.9,taxonomy_match,0
C0215,Building and Debugging Cloud Functions for Node.js,node.js,programming,intermediate,0.9,taxonomy_match,0
C0215,Building and Debugging Cloud Functions for Node.js,cloud functions,extracted,intermediate,0.6,nlp_extraction,1
C0219,Creating Interactive Learning Videos with Edpuzzle,videos,extracted,intermediate,0.6,nlp_extraction,0
C0219,Creating Interactive Learning Videos with Edpuzzle,edpuzzle,extracted,intermediate,0.6,nlp_extraction,0
C0221,Tailwind CSS Practice Project: Build a Product Card,css,programming,intermediate,0.9,taxonomy_match,0
C0221,Tailwind CSS Practice Project: Build a Product Card,tailwind css practice project,extracted,intermediate,0.6,nlp_extraction,0
C0221,Tailwind CSS Practice Project: Build a Product Card,a product card,extracted,intermediate,0.6,nlp_extraction,0
C0223,Build an End-to-End Data Capture Pipeline using Document AI,document,extracted,intermediate,0.6,nlp_extraction,0
C0224,Data-Oriented C++ in Scientific Programming,c++,programming,intermediate,0.9,taxonomy_match,0
C0226,Continuous Delivery & DevOps ,devops,software_engineering,intermediate,0.9,taxonomy_match,0
C0228,"Quantitative Finance with SAS: Apply, Analyze & Evaluate",quantitative finance,extracted,intermediate,0.6,nlp_extraction,0
C0231,Routines in SQL: Stored procedures in SQL Server,sql,programming,intermediate,0.9,taxonomy_match,0
C0237,Security Architecture & Operations,security architecture,cybersecurity,advanced,0.9,taxonomy_match,0
C0238,"GIS Data Formats, Design and Quality",gis data formats,extracted,intermediate,0.6,nlp_extraction,11
C0238,"GIS Data Formats, Design and Quality",design,extracted,intermediate,0.6,nlp_extraction,9
C0238,"GIS Data Formats, Design and Quality",quality,extracted,intermediate,0.6,nlp_extraction,0
C0239,Modalidades organizacionales ágiles en base a la Metodología Scrum,scrum,software_engineering,intermediate,0.9,taxonomy_match,0
C0240,Systems Thinking Basics,systems thinking,analytical,intermediate,0.9,taxonomy_match,13
C0245,Data Analysis Tools,data analysis,data_science,intermediate,0.9,taxonomy_match,0
C0250,Linear Regression,regression,data_science,intermediate,0.9,taxonomy_match,0
C0254,Financial Accounting Fundamentals,accounting,finance,intermediate,0.9,taxonomy_match,0
C0257,Creating a Technology Startup Company,a technology startup company,extracted,intermediate,0.6,nlp_extraction,0
C0259,Introduction to Programming with MATLAB,matlab,programming,intermediate,0.9,taxonomy_match,0
C0261,Optimizing Applications Using Cloud Profiler,applications,extracted,intermediate,0.6,nlp_extraction,0
C0261,Optimizing Applications Using Cloud Profiler,cloud profiler,extracted,intermediate,0.6,nlp_extraction,1
C0262,Using OpenTSDB to Monitor Time-Series Data on Cloud Platform,opentsdb,extracted,intermediate,0.6,nlp_extraction,0
C0262,Using OpenTSDB to Monitor Time-Series Data on Cloud Platform,time-series data,extracted,intermediate,0.6,nlp_extraction,11
C0263,Agile Leadership Principles and Practices,agile,software_engineering,intermediate,0.9,taxonomy_match,0
C0263,Agile Leadership Principles and Practices,leadership,project_management,intermediate,0.9,taxonomy_match,0
C0263,Agile Leadership Principles and Practices,agile leadership principles,extracted,intermediate,0.6,nlp_extraction,0
C0263,Agile Leadership Principles and Practices,practices,extracted,intermediate,0.6,nlp_extraction,12
C0267,"Test, Learn, Evolve: Usability Testing in Figma",testing,software_engineering,intermediate,0.9,taxonomy_match,0
C0267,"Test, Learn, Evolve: Usability Testing in Figma",usability testing,extracted,intermediate,0.6,nlp_extraction,0
C0268,Google Cloud Fundamentals: Core Infrastructure en Français,google cloud,cloud_computing,intermediate,0.9,taxonomy_match,1
C0270,"Fundamentals of Negotiation, with Goldman Sachs 10,000 Women",negotiation,project_management,intermediate,0.9,taxonomy_match,0
C0271,Leadership in Transitions: Competences in Just Transitions,leadership,project_management,intermediate,0.9,taxonomy_match,0
C0272,Python Programming Essentials,python,programming,intermediate,0.9,taxonomy_match,0
C0273,Data-Driven Leadership Skills Course 2: Agile Leadership,leadership,project_management,intermediate,0.9,taxonomy_match,0
C0273,Data-Driven Leadership Skills Course 2: Agile Leadership,agile,software_engineering,intermediate,0.9,taxonomy_match,0
C0275,Introduction to Deep Learning & Neural Networks with Keras,deep learning,data_science,advanced,0.9,taxonomy_match,4
C0275,Introduction to Deep Learning & Neural Networks with Keras,neural networks,data_science,advanced,0.9,taxonomy_match,0
C0281,3D Models with Adobe Photoshop: Design a Pickleball Paddle,adobe photoshop,extracted,intermediate,0.6,nlp_extraction,0
C0281,3D Models with Adobe Photoshop: Design a Pickleball Paddle,a pickleball paddle,extracted,intermediate,0.6,nlp_extraction,0
C0282,Google SEO Capstone Project,seo,marketing,intermediate,0.9,taxonomy_match,0
C0286,Street Photography: Foundations & Creative Mindsets ,photography,multimedia,intermediate,0.9,taxonomy_match,0
C0288,Designing for Sustainment: Keeping Improvement Work on Track (Patient Safety IV),sustainment,extracted,intermediate,0.6,nlp_extraction,0
C0288,Designing for Sustainment: Keeping Improvement Work on Track (Patient Safety IV),improvement work,extracted,intermediate,0.6,nlp_extraction,0
C0290,Modernize Infrastructure and Applications with Google Cloud,google cloud,cloud_computing,intermediate,0.9,taxonomy_match,1
C0291,社会调查与研究方法 （上）Methodologies in Social Research (Part I),research,analytical,intermediate,0.9,taxonomy_match,0
C0301,"Positive Psychology: Character, Grit and Research Methods",research,analytical,intermediate,0.9,taxonomy_match,0
C0302,DevOps and AI on AWS: CI/CD for Generative AI Applications,devops,software_engineering,intermediate,0.9,taxonomy_match,0
C0302,DevOps and AI on AWS: CI/CD for Generative AI Applications,aws,cloud_computing,intermediate,0.9,taxonomy_match,0
C0302,DevOps and AI on AWS: CI/CD for Generative AI Applications,ci/cd,software_engineering,intermediate,0.9,taxonomy_match,0
C0305,Python for Finance: Beta and Capital Asset Pricing Model,python,programming,intermediate,0.9,taxonomy_match,0
C0308,Introduction to Data Engineering on Google Cloud - 简体中文,google cloud,cloud_computing,intermediate,0.9,taxonomy_match,1
C0309,Presenting Data Using Charts with Canva,data,extracted,intermediate,0.6,nlp_extraction,11
C0309,Presenting Data Using Charts with Canva,charts,extracted,intermediate,0.6,nlp_extraction,0
C0309,Presenting Data Using Charts with Canva,canva,extracted,intermediate,0.6,nlp_extraction,0
C0311,Python Fundamentals,python,programming,intermediate,0.9,taxonomy_match,0
C0315,Full-Stack React with Spring Boot: Unit 1,react,programming,intermediate,0.9,taxonomy_match,0
C0316,Distributed Load Testing Using Kubernetes,testing,software_engineering,intermediate,0.9,taxonomy_match,0
C0316,Distributed Load Testing Using Kubernetes,kubernetes,cloud_computing,advanced,0.9,taxonomy_match,0
C0316,Distributed Load Testing Using Kubernetes,load testing,extracted,intermediate,0.6,nlp_extraction,0
C0319,"Python Scripting: Dates, Classes and Collections",python,programming,intermediate,0.9,taxonomy_match,0
C0320,Encryption and Cryptography Essentials,cryptography,cybersecurity,advanced,0.9,taxonomy_match,0
C0323,Training and Learning Programs for Volunteer Community Health Workers,training,extracted,intermediate,0.6,nlp_extraction,0
C0323,Training and Learning Programs for Volunteer Community Health Workers,programs,extracted,intermediate,0.6,nlp_extraction,0
C0323,Training and Learning Programs for Volunteer Community Health Workers,volunteer community health workers,extracted,intermediate,0.6,nlp_extraction,0
C0324,The Power of Object-Oriented Programming,object-oriented programming,software_engineering,intermediate,0.9,taxonomy_match,0
C0326,R: Apply & Analyze K-Means Clustering for Unsupervised ML,r,programming,intermediate,0.9,taxonomy_match,0
C0326,R: Apply & Analyze K-Means Clustering for Unsupervised ML,clustering,data_science,intermediate,0.9,taxonomy_match,0
C0326,R: Apply & Analyze K-Means Clustering for Unsupervised ML,k-means,extracted,intermediate,0.6,nlp_extraction,0
C0327,JavaScript for Dynamic Web Development,javascript,programming,intermediate,0.9,taxonomy_match,0
C0327,JavaScript for Dynamic Web Development,web development,software_engineering,intermediate,0.9,taxonomy_match,0
C0335,Software Design Methods and Tools,software design methods,extracted,intermediate,0.6,nlp_extraction,0
C0335,Software Design Methods and Tools,tools,extracted,intermediate,0.6,nlp_extraction,0
C0337,Websitemodernisierung mit generativer KI in Google Cloud,google cloud,cloud_computing,intermediate,0.9,taxonomy_match,1
C0347,Digital Transformation with Google Cloud - בעברית,google cloud,cloud_computing,intermediate,0.9,taxonomy_match,1
C0348,Analyse de données avec la programmation R,r,programming,intermediate,0.9,taxonomy_match,0
C0349,Asymmetric Cryptography and Key Management,cryptography,cybersecurity,advanced,0.9,taxonomy_match,0
C0355,How to Create an Instagram Business Account,an instagram business account,extracted,intermediate,0.6,nlp_extraction,14
C0356,Learn GitHub Flavored Markdown,github,extracted,intermediate,0.6,nlp_extraction,0
C0358,Essential Design Principles for Tableau,essential design principles,extracted,intermediate,0.6,nlp_extraction,0
C0358,Essential Design Principles for Tableau,tableau,extracted,intermediate,0.6,nlp_extraction,0
C0360,Health Equity Research & Practice: Local & Global Lessons,research,analytical,intermediate,0.9,taxonomy_match,0
C0360,Health Equity Research & Practice: Local & Global Lessons,health equity research,extracted,intermediate,0.6,nlp_extraction,0
C0360,Health Equity Research & Practice: Local & Global Lessons,practice,extracted,intermediate,0.6,nlp_extraction,0
C0360,Health Equity Research & Practice: Local & Global Lessons,local & global lessons,extracted,intermediate,0.6,nlp_extraction,0
C0366,Web and Mobile Testing with Selenium,testing,software_engineering,intermediate,0.9,taxonomy_match,0
C0367,Mastering Remote Work and Online Study in U.S. in the post-COVID Era,remote work,extracted,intermediate,0.6,nlp_extraction,0
C0367,Mastering Remote Work and Online Study in U.S. in the post-COVID Era,online study,extracted,intermediate,0.6,nlp_extraction,0
C0368,FinTech Risk Management,risk management,finance,intermediate,0.9,taxonomy_match,2
C0370,Certified Kubernetes Administrator (CKA): Unit 1,kubernetes,cloud_computing,advanced,0.9,taxonomy_match,0
C0371,"Cloud Native, Microservices, Containers, DevOps and Agile",microservices,software_engineering,advanced,0.9,taxonomy_match,0
C0371,"Cloud Native, Microservices, Containers, DevOps and Agile",devops,software_engineering,intermediate,0.9,taxonomy_match,0
C0371,"Cloud Native, Microservices, Containers, DevOps and Agile",agile,software_engineering,intermediate,0.9,taxonomy_match,0
C0372,Networking in Google Cloud: Hybrid and Multicloud - Português Brasileiro,google cloud,cloud_computing,intermediate,0.9,taxonomy_match,1
C0373,Jenkins Pipeline: Declarative and IaC approaches for DevOps,devops,software_engineering,intermediate,0.9,taxonomy_match,0
C0374,AWS Certified SysOps Administrator - Associate,aws,cloud_computing,intermediate,0.9,taxonomy_match,0
C0375,Introduction to Social Media Marketing,social media marketing,marketing,intermediate,0.9,taxonomy_match,0
C0377,Concurrency in Go,go,programming,intermediate,0.9,taxonomy_match,0
C0379,Dynamic volume provisioning on GKE with Google Cloud NetApp Volumes,google cloud,cloud_computing,intermediate,0.9,taxonomy_match,1
C0382,"Create Embeddings, Vector Search, and RAG with BigQuery",embeddings,extracted,intermediate,0.6,nlp_extraction,0
C0382,"Create Embeddings, Vector Search, and RAG with BigQuery",vector search,extracted,intermediate,0.6,nlp_extraction,0
C0384,"AWS: IoT, Machine Learning and Blockchain",aws,cloud_computing,intermediate,0.9,taxonomy_match,0
C0384,"AWS: IoT, Machine Learning and Blockchain",machine learning,data_science,intermediate,0.9,taxonomy_match,4
C0386,Design engaging Stories for Instagram and Facebook in Easil,design engaging stories,extracted,intermediate,0.6,nlp_extraction,9
C0386,Design engaging Stories for Instagram and Facebook in Easil,instagram,extracted,intermediate,0.6,nlp_extraction,0
C0387,Building Multimodal Search and RAG,multimodal search,extracted,intermediate,0.6,nlp_extraction,0
C0396,Security and Privacy for Big Data - Part 2,big data,data_science,intermediate,0.9,taxonomy_match,11
C0397,Basics of Accounting for Assets,accounting,finance,intermediate,0.9,taxonomy_match,0
C0398,Generative AI for SEO: Be the #1 Answer in AI Search,seo,marketing,intermediate,0.9,taxonomy_match,0
C0400,A quick tour on Big Data and Business Intelligence,big data,data_science,intermediate,0.9,taxonomy_match,11
C0400,A quick tour on Big Data and Business Intelligence,business intelligence,business_analysis,intermediate,0.9,taxonomy_match,14
C0403,Supervised Machine Learning: Regression,machine learning,data_science,intermediate,0.9,taxonomy_match,4
C0403,Supervised Machine Learning: Regression,regression,data_science,intermediate,0.9,taxonomy_match,0
C0404,Create a Writing Rubric with Microsoft Word,a writing rubric,extracted,intermediate,0.6,nlp_extraction,0
C0404,Create a Writing Rubric with Microsoft Word,microsoft word,extracted,intermediate,0.6,nlp_extraction,0
C0410,DevOps and AI on AWS: Upgrading Apps with Generative AI,devops,software_engineering,intermediate,0.9,taxonomy_match,0
C0410,DevOps and AI on AWS: Upgrading Apps with Generative AI,aws,cloud_computing,intermediate,0.9,taxonomy_match,0
C0415,Test Driven Development in Java for Beginners ,java,programming,intermediate,0.9,taxonomy_match,0
C0417,Data Visualization in Stata,data visualization,data_science,intermediate,0.9,taxonomy_match,11
C0420,Interpretable Machine Learning Applications: Part 1,machine learning,data_science,intermediate,0.9,taxonomy_match,4
C0422,Deep Learning with PyTorch : GradCAM,deep learning,data_science,advanced,0.9,taxonomy_match,4
C0424,Security & Ethical Hacking: Attacking Web and AI Systems,ethical hacking,cybersecurity,intermediate,0.9,taxonomy_match,0
C0428,Leading with Power Skills: Building Self-Awareness in Teams,power skills,extracted,intermediate,0.6,nlp_extraction,0
C0428,Leading with Power Skills: Building Self-Awareness in Teams,self-awareness,extracted,intermediate,0.6,nlp_extraction,0
C0428,Leading with Power Skills: Building Self-Awareness in Teams,teams,extracted,intermediate,0.6,nlp_extraction,0
C0429,Applying Systems Engineering to the Design Process,systems,extracted,intermediate,0.6,nlp_extraction,13
C0429,Applying Systems Engineering to the Design Process,engineering,extracted,intermediate,0.6,nlp_extraction,0
C0429,Applying Systems Engineering to the Design Process,the design process,extracted,intermediate,0.6,nlp_extraction,0
C0431,Data Visualization and Modeling in Python,data visualization,data_science,intermediate,0.9,taxonomy_match,11
